,Rbin,mean,v,npt
10673,143100,5304.8125,1.70,1.0
10674,148400,8017.75,1.70,1.0
10675,156400,4483.104166666667,1.70,3.0
10676,162400,4787.830729166667,1.70,6.0
10677,173000,-776.140625,1.70,2.0
10678,138700,8283.734375,1.70,1.0
10679,147000,8599.96875,1.70,2.0
10680,152800,300.390625,1.70,1.0
10681,153100,4780.796875,1.70,1.0
10682,157900,4552.328125,1.70,4.0
10683,161900,1646.5390625,1.70,2.0
10684,163900,2359.22265625,1.70,4.0
10685,168000,1319.03125,1.70,4.0
10686,169400,34.67578125,1.70,4.0
10687,166400,2457.83125,1.70,5.0
10688,167500,1012.4765625,1.70,6.0
10689,147100,837.015625,1.70,1.0
10690,147900,2266.84375,1.70,1.0
10691,150200,8483.5234375,1.70,2.0
10692,154900,5377.125,1.70,1.0
10693,163100,1998.975,1.70,5.0
10694,168400,3223.318359375,1.70,8.0
10695,167200,1058.875,1.70,1.0
10696,174300,1774.5044642857142,1.70,7.0
10697,171500,2315.896875,1.70,5.0
10698,174900,1634.8046875,1.70,8.0
10699,176700,2366.84375,1.70,4.0
10700,179500,1267.5399305555557,1.70,9.0
10701,140600,10605.5,1.70,2.0
10702,147400,657.15625,1.70,1.0
10703,148100,10849.15625,1.70,2.0
10704,155300,-5710.6875,1.70,1.0
10705,149600,5451.46875,1.70,1.0
10706,159800,3406.4296875,1.70,2.0
10707,164100,1300.4947916666667,1.70,3.0
10708,163400,2555.2578125,1.70,2.0
10709,166500,603.7734375,1.70,2.0
10710,172300,1845.43359375,1.70,4.0
10711,176100,1971.1458333333333,1.70,3.0
